location,Price,bedrooms,bathroom,floor,year_of_construction,size,ft_road,Address
Lubhu,11000000,3,4,3,2019,3-1-1 Aana,11 Feet ,"Dadathok, Lubhu, Lalitpur"
Kathmandu,50000000,5,4,2,2073,0-8-5-0 Aana,20 Feet ,"Hepali, Budhanilkantha, Kathmandu"
Kathmandu,100000000,10,8,3.5,2017,0-12-3-2 Aana,20 Feet ,"baluwatar, Baluwatar, Kathmandu"
Kathmandu,32500000,6,4,2.5,2065,0-4-0-0 Aana,12 Feet ,"Nearby Nilo Pool, Sukedhara, Kathmandu"
Pokhara,32000000,4,5,3,2075,14 Aana,15 Feet ,"4, Lekhnath, Pokhara"
Kathmandu,39900000,5,4,3,2075,0-4-2-0 Aana,14 Feet ,"Budhanilkantha, Chapali, Kathmandu"
Kathmandu,15000000,2,2,1,2074,5 Aana,12 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,52500000,5,5,3,2075,8 Aana,20 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,26500000,6,6,3,2076,4 Aana,13 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,25500000,6,6,3,2076,4 Aana,13 Feet ,"NA, Sitapaila, Kathmandu"
Kathmandu,33000000,6,4,2.5,2056,0-6-0-0 Aana,20 Feet ,"Nearby CCRC College, Narephate, Kathmandu"
Kathmandu,18500000,4,4,N/A,N/A,6 Aana,13 Feet,"Daura Dipo, Thankot, Kathmandu"
Kathmandu,62000000,7,4,N/A,N/A,10 Aana,0 Feet,"khasibazaar, Kalanki, Kathmandu"
Kathmandu,10500000,0,0,N/A,N/A,0-4-0-0 Aana,10 Feet,"Lonag height, Kavresthali, Kathmandu"
Bhaktapur,20500000,7,3,3,2076,0-3-2-0 Aana,10 Feet ,"Sipadol, Sipadol, Bhaktapur"
Bhaktapur,22000000,0,0,N/A,N/A,0-3-2-0 Aana,20 Feet ,"Radhe Radhe, Radhe Radhe, Bhaktapur"
Kathmandu,145000000,95,40,5,2073,21 Aana,20 Feet ,"Na, Balaju, Kathmandu"
Kathmandu,55000000,5,6,3,2071,19 Aana,20 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,24000000,4,4,2.5,2075,0-4-0-0 Aana,13 Feet ,"Ramkot, Sitapaila, Kathmandu"
Kathmandu,37000000,6,6,3,N/A,6.1 Aana,32 Feet,"Na, Dhapasi, Kathmandu"
Kathmandu,102500000,6,6,3,2070,19 Aana,13 Feet ,"Na, Golfutar, Kathmandu"
Imadol,22000000,7,4,3.5,2076,0-4-2-0 Aana,13 Feet ,"Sital height, Imadol, Lalitpur"
Kathmandu,58500000,6,6,3,2076,6.5 Aana,16 Feet ,"Na, Pepsicola, Kathmandu"
